SPRINGBOOT_SECURITY 13:23:38.780 INFO  org.hibernate.validator.internal.util.Version : - HV000001: Hibernate Validator 8.0.1.Final 
SPRINGBOOT_SECURITY 13:23:40.059 INFO  com.ulisesbocchio.jasyptspringboot.EncryptablePropertySourceConverter : - Converting PropertySource servletContextInitParams [org.springframework.core.env.PropertySource$StubPropertySource] to EncryptablePropertySourceWrapper 
SPRINGBOOT_SECURITY 13:23:40.060 INFO  com.ulisesbocchio.jasyptspringboot.EncryptablePropertySourceConverter : - Converting PropertySource systemProperties [org.springframework.core.env.PropertiesPropertySource] to EncryptableMapPropertySourceWrapper 
SPRINGBOOT_SECURITY 13:23:40.060 INFO  com.ulisesbocchio.jasyptspringboot.EncryptablePropertySourceConverter : - Converting PropertySource systemEnvironment [org.springframework.boot.env.SystemEnvironmentPropertySourceEnvironmentPostProcessor$OriginAwareSystemEnvironmentPropertySource] to EncryptableMapPropertySourceWrapper 
SPRINGBOOT_SECURITY 13:23:40.060 INFO  com.ulisesbocchio.jasyptspringboot.EncryptablePropertySourceConverter : - Converting PropertySource random [org.springframework.boot.env.RandomValuePropertySource] to EncryptablePropertySourceWrapper 
SPRINGBOOT_SECURITY 13:23:40.060 INFO  com.ulisesbocchio.jasyptspringboot.EncryptablePropertySourceConverter : - Converting PropertySource Config resource 'class path resource [application-local.yml]' via location 'optional:classpath:/' [org.springframework.boot.env.OriginTrackedMapPropertySource] to EncryptableMapPropertySourceWrapper 
SPRINGBOOT_SECURITY 13:23:40.060 INFO  com.ulisesbocchio.jasyptspringboot.EncryptablePropertySourceConverter : - Converting PropertySource Config resource 'class path resource [application.yml]' via location 'optional:classpath:/' [org.springframework.boot.env.OriginTrackedMapPropertySource] to EncryptableMapPropertySourceWrapper 
SPRINGBOOT_SECURITY 13:23:40.060 INFO  com.ulisesbocchio.jasyptspringboot.EncryptablePropertySourceConverter : - Converting PropertySource devtools [org.springframework.core.env.MapPropertySource] to EncryptableMapPropertySourceWrapper 
SPRINGBOOT_SECURITY 13:23:40.078 INFO  com.ulisesbocchio.jasyptspringboot.filter.DefaultLazyPropertyFilter : - Property Filter custom Bean not found with name 'encryptablePropertyFilter'. Initializing Default Property Filter 
SPRINGBOOT_SECURITY 13:23:40.223 INFO  com.ulisesbocchio.jasyptspringboot.resolver.DefaultLazyPropertyResolver : - Property Resolver custom Bean not found with name 'encryptablePropertyResolver'. Initializing Default Property Resolver 
SPRINGBOOT_SECURITY 13:23:40.225 INFO  com.ulisesbocchio.jasyptspringboot.detector.DefaultLazyPropertyDetector : - Property Detector custom Bean not found with name 'encryptablePropertyDetector'. Initializing Default Property Detector 
SPRINGBOOT_SECURITY 13:23:40.499 INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer : - Tomcat initialized with port 9080 (http) 
SPRINGBOOT_SECURITY 13:23:40.515 INFO  org.apache.coyote.http11.Http11NioProtocol : - Initializing ProtocolHandler ["http-nio-9080"] 
SPRINGBOOT_SECURITY 13:23:40.517 INFO  org.apache.catalina.core.StandardService : - Starting service [Tomcat] 
SPRINGBOOT_SECURITY 13:23:40.518 INFO  org.apache.catalina.core.StandardEngine : - Starting Servlet engine: [Apache Tomcat/10.1.17] 
SPRINGBOOT_SECURITY 13:23:40.573 INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] : - Initializing Spring embedded WebApplicationContext 
SPRINGBOOT_SECURITY 13:23:40.575 INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext : - Root WebApplicationContext: initialization completed in 1728 ms 
SPRINGBOOT_SECURITY 13:23:40.670 INFO  com.ulisesbocchio.jasyptspringboot.encryptor.DefaultLazyEncryptor : - Found Custom Encryptor Bean org.jasypt.encryption.pbe.StandardPBEStringEncryptor@75a4b18b with name: jasyptStringEncryptor 
SPRINGBOOT_SECURITY 13:23:40.713 INFO  com.zaxxer.hikari.HikariDataSource : - hikari-cp - Starting... 
SPRINGBOOT_SECURITY 13:23:40.939 INFO  com.zaxxer.hikari.pool.HikariPool : - hikari-cp - Added connection net.sf.log4jdbc.sql.jdbcapi.ConnectionSpy@30d9e43e 
SPRINGBOOT_SECURITY 13:23:40.940 INFO  com.zaxxer.hikari.HikariDataSource : - hikari-cp - Start completed. 
SPRINGBOOT_SECURITY 13:23:40.951 INFO  org.springframework.boot.autoconfigure.h2.H2ConsoleAutoConfiguration : - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:testdb' 
SPRINGBOOT_SECURITY 13:23:41.033 INFO  com.kt.edu.thirdproject.common.filter.LogFilter : - LogFilter init() 
SPRINGBOOT_SECURITY 13:23:41.178 INFO  jdbc.sqltiming : - create sequence hibernate_sequence\n {executed in 1 msec} 
SPRINGBOOT_SECURITY 13:23:41.182 INFO  jdbc.sqltiming : - create table employee ( id long not null, empName varchar(255), empDeptName varchar(255), empTelNo varchar(20), empMail varchar(25) )\n {executed in 2 msec} 
SPRINGBOOT_SECURITY 13:23:41.185 INFO  jdbc.sqltiming : - alter table employee add constraint employee_pk primary key (id)\n {executed in 3 msec} 
SPRINGBOOT_SECURITY 13:23:41.319 INFO  org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer : - LiveReload server is running on port 35729 
SPRINGBOOT_SECURITY 13:23:41.632 INFO  org.springframework.boot.actuate.endpoint.web.EndpointLinksResolver : - Exposing 6 endpoint(s) beneath base path '/actuator' 
SPRINGBOOT_SECURITY 13:23:41.685 DEBUG org.springframework.security.config.annotation.authentication.configuration.AuthenticationConfiguration$DefaultPasswordEncoderAuthenticationManagerBuilder : - No authenticationProviders and no parentAuthenticationManager defined. Returning null. 
SPRINGBOOT_SECURITY 13:23:41.911 INFO  org.springframework.security.web.DefaultSecurityFilterChain : - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@2584a69f, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6ea527a5, org.springframework.security.web.context.SecurityContextHolderFilter@19208235, org.springframework.security.web.header.HeaderWriterFilter@1f73f2e8, org.springframework.web.filter.CorsFilter@27bb0520, org.springframework.security.web.authentication.logout.LogoutFilter@6bab2637, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@699b62cc, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@1e9ebce7, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@1d21c8e2, org.springframework.security.oauth2.server.resource.web.authentication.BearerTokenAuthenticationFilter@78d63029, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@61eb9778, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@c2db84e, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@1d912587, org.springframework.security.web.session.SessionManagementFilter@50fce4f0, org.springframework.security.web.access.ExceptionTranslationFilter@2674d269, org.springframework.security.web.access.intercept.AuthorizationFilter@5215a630] 
SPRINGBOOT_SECURITY 13:23:42.232 INFO  org.apache.coyote.http11.Http11NioProtocol : - Starting ProtocolHandler ["http-nio-9080"] 
SPRINGBOOT_SECURITY 13:23:42.251 INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer : - Tomcat started on port 9080 (http) with context path '' 
SPRINGBOOT_SECURITY 13:23:42.272 INFO  com.kt.edu.thirdproject.ThirdprojectApplication : - Started ThirdprojectApplication in 3.794 seconds (process running for 9.729) 
SPRINGBOOT_SECURITY 13:53:12.902 INFO  com.zaxxer.hikari.HikariDataSource : - hikari-cp - Shutdown initiated... 
SPRINGBOOT_SECURITY 13:53:12.906 INFO  com.zaxxer.hikari.HikariDataSource : - hikari-cp - Shutdown completed. 
SPRINGBOOT_SECURITY 13:53:12.911 INFO  com.kt.edu.thirdproject.common.filter.LogFilter : - LogFilter destroy() 
